Datafile,p,q,Average Count,Variance,Average Time
rec-amz-Apps_for_Android.txt,5,6,299983523.311953,0.0,10.372128
rec-amz-Apps_for_Android.txt,5,8,361274791.034731,0.0,7.746215
rec-amz-Apps_for_Android.txt,5,10,251481342.748399,0.0,148.818526
rec-amz-Apps_for_Android.txt,7,6,1728702931.384126,0.0,17.963471
rec-amz-Apps_for_Android.txt,7,10,174045929.932706,0.0,5.591027
rec-amz-Apps_for_Android.txt,9,6,7795890330.211604,0.0,44.133099
rec-amz-Apps_for_Android.txt,9,10,72046698.014955,0.0,30.247754
rec-amz-Books.txt,5,6,610934904198.2025,0.0,557.354957
rec-amz-Books.txt,5,8,1234120826439.97,0.0,988.506597
rec-amz-Books.txt,5,10,15935969725022.5,0.0,5607.546828
rec-amz-Books.txt,7,6,90114569139421.2,0.0,460.602173
rec-amz-Books.txt,7,10,9870881408018.494,0.0,3634.893367
rec-amz-Books.txt,9,6,1.3256215585077374e+16,0.0,462.116566
rec-amz-Books.txt,9,10,233054777737942.88,0.0,840.212851
rec-amz-Grocery-Gourmet-Food.txt,5,6,662198644.606277,0.0,23.586984
rec-amz-Grocery-Gourmet-Food.txt,5,8,1621521974.237664,0.0,94.733706
rec-amz-Grocery-Gourmet-Food.txt,5,10,4247545857.342293,0.0,504.885399
rec-amz-Grocery-Gourmet-Food.txt,7,6,961003080.923792,0.0,139.816038
rec-amz-Grocery-Gourmet-Food.txt,7,10,-1,-1,-1
rec-amz-Grocery-Gourmet-Food.txt,9,6,5206738804.706753,0.0,601.822498
rec-amz-Grocery-Gourmet-Food.txt,9,10,-1,-1,-1
rec-amz-CDs-and-Vinyl.txt,5,6,2465685282.006899,0.0,70.716406
rec-amz-CDs-and-Vinyl.txt,5,8,2512892701.472805,0.0,2376.670199
rec-amz-CDs-and-Vinyl.txt,5,10,-1,-1,-1
rec-amz-CDs-and-Vinyl.txt,7,6,63890372211.705574,0.0,35.530036
rec-amz-CDs-and-Vinyl.txt,7,10,1675792567.71902,0.0,6772.943125
rec-amz-CDs-and-Vinyl.txt,9,6,1498062854448.403,0.0,32.94153
rec-amz-CDs-and-Vinyl.txt,9,10,14815587151.983738,0.0,179.44246
aff-github-user2project.txt,5,6,7112262016.099368,0.0,279.418245
aff-github-user2project.txt,5,8,7021479796.875199,0.0,960.273247
aff-github-user2project.txt,5,10,22070283944.375866,0.0,3915.435528
aff-github-user2project.txt,7,6,82675060726.42116,0.0,2231.201419
aff-github-user2project.txt,7,10,0.0,0.0,46.507789
aff-github-user2project.txt,9,6,2828006267032.583,0.0,11149.44052
aff-github-user2project.txt,9,10,-1,-1,-1
rec-amz-Health-Personal-Care.txt,5,6,13204604076.750023,0.0,15.314224
rec-amz-Health-Personal-Care.txt,5,8,69016337946.9578,0.0,34.576036
rec-amz-Health-Personal-Care.txt,5,10,373265352427.59357,0.0,153.172511
rec-amz-Health-Personal-Care.txt,7,6,60653902137.55388,0.0,23.880182
rec-amz-Health-Personal-Care.txt,7,10,125825767709.59425,0.0,321.713289
rec-amz-Health-Personal-Care.txt,9,6,254762911777.41278,0.0,53.338772
rec-amz-Health-Personal-Care.txt,9,10,150541107096.7388,0.0,908.11756
ia-stackexch-user-marks-post-und.txt,5,6,278885552.817026,0.0,378.873402
ia-stackexch-user-marks-post-und.txt,5,8,2812214334.660738,0.0,13219.180635
ia-stackexch-user-marks-post-und.txt,5,10,-1,-1,-1
ia-stackexch-user-marks-post-und.txt,7,6,3353071.145478,0.0,2868.416098
ia-stackexch-user-marks-post-und.txt,7,10,-1,-1,-1
ia-stackexch-user-marks-post-und.txt,9,6,-1,-1,-1
ia-stackexch-user-marks-post-und.txt,9,10,0.0,0.0,10.4163
