Datafile,p,q,Average Count,Variance,Average Time
rec-amz-Apps_for_Android.txt,5,6,292197408.94789296,356822280782076.3,9.458463333333333
rec-amz-Apps_for_Android.txt,5,8,295429906.37983805,6723259476105385.0,5.688136333333333
rec-amz-Apps_for_Android.txt,5,10,254579915.068159,72368605808296.17,35.740112
rec-amz-Apps_for_Android.txt,7,6,1698178700.0307665,1.0145434003176704e+16,13.461905333333334
rec-amz-Apps_for_Android.txt,7,10,171099478.23778966,150543435703865.7,2.99953
rec-amz-Apps_for_Android.txt,9,6,8540902187.938057,5.631412462517353e+16,18.819698666666667
rec-amz-Apps_for_Android.txt,9,10,77923171.32305668,1912498866512.01,7.870425666666667
rec-amz-Books.txt,5,6,619263954971.9453,7.177435900179977e+20,529.021805
rec-amz-Books.txt,5,8,1258764161368.5183,1.4499055948146133e+20,588.7555376666667
rec-amz-Books.txt,5,10,15715791185077.295,1.4507736577045291e+23,1702.3126296666667
rec-amz-Books.txt,7,6,90265129934440.55,6.06839954780004e+24,437.37582633333335
rec-amz-Books.txt,7,10,9950652217587.688,3.726778118714051e+22,1127.6650903333334
rec-amz-Books.txt,9,6,1.3294347421105454e+16,3.821600909984011e+29,410.23187566666667
rec-amz-Books.txt,9,10,233830119040178.62,6.369763562960568e+24,393.7784776666667
rec-amz-Grocery-Gourmet-Food.txt,5,6,675795530.442148,56270674574826.33,10.595650999999998
rec-amz-Grocery-Gourmet-Food.txt,5,8,1640499396.4024687,4882688028222613.0,27.159711666666666
rec-amz-Grocery-Gourmet-Food.txt,5,10,4210544134.684126,8834706937893692.0,127.161277
rec-amz-Grocery-Gourmet-Food.txt,7,6,960279817.375405,83451134955900.06,43.788779
rec-amz-Grocery-Gourmet-Food.txt,7,10,106006111.22982168,897737150162.1134,7733.223438000001
rec-amz-Grocery-Gourmet-Food.txt,9,6,5210503551.190666,2386188083838196.0,163.04929466666667
rec-amz-Grocery-Gourmet-Food.txt,9,10,-1,-1,-1
rec-amz-CDs-and-Vinyl.txt,5,6,2483199840.032583,3367234367027840.5,49.75057433333333
rec-amz-CDs-and-Vinyl.txt,5,8,2578540850.052485,1951611579021739.2,637.9922553333333
rec-amz-CDs-and-Vinyl.txt,5,10,-1,-1,-1
rec-amz-CDs-and-Vinyl.txt,7,6,67777579718.18325,2.932663494959498e+18,31.087293666666667
rec-amz-CDs-and-Vinyl.txt,7,10,1649296647.1355226,64456463649597.61,1816.1356083333333
rec-amz-CDs-and-Vinyl.txt,9,6,1502952537155.3328,4.5256350107455733e+21,27.009984000000003
rec-amz-CDs-and-Vinyl.txt,9,10,14858017834.547125,1.759413106942875e+18,59.64251866666667
aff-github-user2project.txt,5,6,7279945888.499162,1.3975952936025632e+17,116.27373866666666
aff-github-user2project.txt,5,8,6835462742.544327,1703852715321066.2,307.10506833333335
aff-github-user2project.txt,5,10,21508498995.171032,1.4541726210929405e+17,1118.5607883333332
aff-github-user2project.txt,7,6,81116750796.84735,1.6066146116826685e+19,683.0053243333333
aff-github-user2project.txt,7,10,953978390,108654487469000,14089.7325
aff-github-user2project.txt,9,6,2825916418743.0884,4.065923183999209e+21,3229.916652
aff-github-user2project.txt,9,10,35675474.68,155650033020,8456.6266666666667
rec-amz-Health-Personal-Care.txt,5,6,12492197964.356337,4.588923138018126e+16,10.198226333333333
rec-amz-Health-Personal-Care.txt,5,8,68423941571.87244,3.592018825822125e+17,14.635216999999999
rec-amz-Health-Personal-Care.txt,5,10,364904388236.8515,1.646923294966011e+20,44.58788766666667
rec-amz-Health-Personal-Care.txt,7,6,59789162224.115456,1.287314710515213e+17,12.240654666666666
rec-amz-Health-Personal-Care.txt,7,10,125669304938.94733,3.384478746272644e+18,88.20278766666667
rec-amz-Health-Personal-Care.txt,9,6,264361683255.63367,3.278070774906544e+23,18.644681000000002
rec-amz-Health-Personal-Care.txt,9,10,153921782524.83603,2.310644821274841e+19,231.20941466666667
ia-stackexch-user-marks-post-und.txt,5,6,283025379.08119696,23690960989476.418,115.20801033333333
ia-stackexch-user-marks-post-und.txt,5,8,2826326033.3879485,1152003553399866.5,3438.2958779999994
ia-stackexch-user-marks-post-und.txt,5,10,27337085098,195834099054390899,2859.434324
ia-stackexch-user-marks-post-und.txt,7,6,3283953.162661333,434108668.5485112,755.2006203333334
ia-stackexch-user-marks-post-und.txt,7,10,384453.43,9845430.2301,3204.626
ia-stackexch-user-marks-post-und.txt,9,6,262961.898681,17057185.38448808,9343.657095333334
ia-stackexch-user-marks-post-und.txt,9,10,-1,-1,-1
