./data/ucforum.txt 
graph size:n1: 899 n2:522, m 7089
load graph
g->n1: 899
Tree completed in: 2312 (ms)
count size: 253
maxPcount: 205
maxQcount: 191
(2 - 2) = 76095.000000
(2 - 3) = 109687.000000
(2 - 4) = 266090.000000
(2 - 5) = 795140.000000
(2 - 6) = 2391213.000000
(2 - 7) = 6657680.000000
(2 - 8) = 16644041.000000
(2 - 9) = 36961924.000000
(2 - 10) = 72696743.000000
(2 - 11) = 126648391.000000
(2 - 12) = 195677068.000000
(2 - 13) = 268483945.000000
(2 - 14) = 327464798.000000
(2 - 15) = 355186205.000000
(2 - 16) = 342504396.000000
(2 - 17) = 293313565.000000
(2 - 18) = 222651749.000000
(2 - 19) = 149388863.000000
(2 - 20) = 88251991.000000
(2 - 21) = 45669834.000000
(2 - 22) = 20566993.000000
(2 - 23) = 7992229.000000
(2 - 24) = 2650701.000000
(2 - 25) = 739609.000000
(2 - 26) = 170291.000000
(2 - 27) = 31493.000000
(2 - 28) = 4496.000000
(2 - 29) = 465.000000
(2 - 30) = 31.000000
(2 - 31) = 1.000000
(3 - 2) = 172745.000000
(3 - 3) = 39733.000000
(3 - 4) = 20858.000000
(3 - 5) = 17044.000000
(3 - 6) = 16556.000000
(3 - 7) = 16441.000000
(3 - 8) = 15172.000000
(3 - 9) = 12208.000000
(3 - 10) = 8177.000000
(3 - 11) = 4389.000000
(3 - 12) = 1821.000000
(3 - 13) = 560.000000
(3 - 14) = 120.000000
(3 - 15) = 16.000000
(3 - 16) = 1.000000
(4 - 2) = 568256.000000
(4 - 3) = 24685.000000
(4 - 4) = 3059.000000
(4 - 5) = 560.000000
(4 - 6) = 130.000000
(4 - 7) = 37.000000
(4 - 8) = 9.000000
(4 - 9) = 1.000000
(5 - 2) = 2119934.000000
(5 - 3) = 19273.000000
(5 - 4) = 708.000000
(5 - 5) = 23.000000
(6 - 2) = 7837941.000000
(6 - 3) = 16127.000000
(6 - 4) = 196.000000
(7 - 2) = 26993701.000000
(7 - 3) = 13290.000000
(7 - 4) = 51.000000
(8 - 2) = 84325050.000000
(8 - 3) = 10009.000000
(8 - 4) = 10.000000
(9 - 2) = 236447340.000000
(9 - 3) = 6496.000000
(9 - 4) = 1.000000
(10 - 2) = 593263514.000000
(10 - 3) = 3475.000000
(11 - 2) = 1332238806.000000
(11 - 3) = 1471.000000
(12 - 2) = 2681705438.000000
(12 - 3) = 470.000000
(13 - 2) = 4848281551.000000
(13 - 3) = 106.000000
(14 - 2) = 7887703361.000000
(14 - 3) = 15.000000
(15 - 2) = 11567229958.000000
(15 - 3) = 1.000000
(16 - 2) = 15310893803.000000
(17 - 2) = 18308908196.000000
(18 - 2) = 19788848773.000000
(19 - 2) = 19331954498.000000
(20 - 2) = 17061345172.000000
(21 - 2) = 13589046483.000000
(22 - 2) = 9752421546.000000
(23 - 2) = 6292506694.000000
(24 - 2) = 3639663278.000000
(25 - 2) = 1880261163.000000
(26 - 2) = 863537383.000000
(27 - 2) = 350545356.000000
(28 - 2) = 124878295.000000
(29 - 2) = 38689860.000000
(30 - 2) = 10306384.000000
(31 - 2) = 2325840.000000
(32 - 2) = 435963.000000
(33 - 2) = 66047.000000
(34 - 2) = 7770.000000
(35 - 2) = 666.000000
(36 - 2) = 37.000000
(37 - 2) = 1.000000
