Datafile,p,q,Average Count,Variance,Average Time
rec-amz-Apps_for_Android.txt,5,6,0.0,0.0,0.0
rec-amz-Apps_for_Android.txt,5,8,0.0,0.0,0.0
rec-amz-Apps_for_Android.txt,5,10,0.0,0.0,0.0
rec-amz-Apps_for_Android.txt,7,6,0.0,0.0,0.0
rec-amz-Apps_for_Android.txt,7,10,0.0,0.0,0.0
rec-amz-Apps_for_Android.txt,9,6,0.0,0.0,0.0
rec-amz-Apps_for_Android.txt,9,10,0.0,0.0,0.0
rec-amz-Books.txt,5,6,0.0,0.0,0.0
rec-amz-Books.txt,5,8,0.0,0.0,0.0
rec-amz-Books.txt,5,10,0.0,0.0,0.0
rec-amz-Books.txt,7,6,0.0,0.0,0.0
rec-amz-Books.txt,7,10,0.0,0.0,0.0
rec-amz-Books.txt,9,6,0.0,0.0,0.0
rec-amz-Books.txt,9,10,0.0,0.0,0.0
rec-amz-Grocery-Gourmet-Food.txt,5,6,0.0,0.0,0.0
rec-amz-Grocery-Gourmet-Food.txt,5,8,0.0,0.0,0.0
rec-amz-Grocery-Gourmet-Food.txt,5,10,0.0,0.0,0.0
rec-amz-Grocery-Gourmet-Food.txt,7,6,0.0,0.0,0.0
rec-amz-Grocery-Gourmet-Food.txt,7,10,0.0,0.0,0.0
rec-amz-Grocery-Gourmet-Food.txt,9,6,0.0,0.0,0.0
rec-amz-Grocery-Gourmet-Food.txt,9,10,0.0,0.0,0.0
rec-amz-CDs-and-Vinyl.txt,5,6,0.0,0.0,0.0
rec-amz-CDs-and-Vinyl.txt,5,8,0.0,0.0,0.0
rec-amz-CDs-and-Vinyl.txt,5,10,0.0,0.0,0.0
rec-amz-CDs-and-Vinyl.txt,7,6,0.0,0.0,0.0
rec-amz-CDs-and-Vinyl.txt,7,10,0.0,0.0,0.0
rec-amz-CDs-and-Vinyl.txt,9,6,0.0,0.0,0.0
rec-amz-CDs-and-Vinyl.txt,9,10,0.0,0.0,0.0
aff-github-user2project.txt,5,6,0.0,0.0,0.0
aff-github-user2project.txt,5,8,0.0,0.0,0.0
aff-github-user2project.txt,5,10,0.0,0.0,0.0
aff-github-user2project.txt,7,6,0.0,0.0,0.0
aff-github-user2project.txt,7,10,0.0,0.0,0.0
aff-github-user2project.txt,9,6,0.0,0.0,0.0
aff-github-user2project.txt,9,10,0.0,0.0,0.0
rec-amz-Health-Personal-Care.txt,5,6,0.0,0.0,0.0
rec-amz-Health-Personal-Care.txt,5,8,0.0,0.0,0.0
rec-amz-Health-Personal-Care.txt,5,10,0.0,0.0,0.0
rec-amz-Health-Personal-Care.txt,7,6,0.0,0.0,0.0
rec-amz-Health-Personal-Care.txt,7,10,0.0,0.0,0.0
rec-amz-Health-Personal-Care.txt,9,6,0.0,0.0,0.0
rec-amz-Health-Personal-Care.txt,9,10,0.0,0.0,0.0
ia-stackexch-user-marks-post-und.txt,5,6,0.0,0.0,0.0
ia-stackexch-user-marks-post-und.txt,5,8,0.0,0.0,0.0
ia-stackexch-user-marks-post-und.txt,5,10,0.0,0.0,0.0
ia-stackexch-user-marks-post-und.txt,7,6,0.0,0.0,0.0
ia-stackexch-user-marks-post-und.txt,7,10,0.0,0.0,0.0
ia-stackexch-user-marks-post-und.txt,9,6,0.0,0.0,0.0
ia-stackexch-user-marks-post-und.txt,9,10,0.0,0.0,0.0
